Source     RACODE         MJDate    J2000RA    J2000Dec    ObsFreq  Pol      FLUX    FLUXERR
0529+483   RK16EG    57719.24394   83.31612    48.38134   22.23600  LCP      1.59       0.01
0529+483   RK16EG    57719.24394   83.31612    48.38134   22.23600  RCP      1.63       0.02
1800+7828  RE03DE    56197.76228  270.19035    78.46778   22.22800  LCP      1.61       0.03
1800+7828  RE03DE    56197.76228  270.19035    78.46778   22.22800  RCP      1.64       0.02
1224+0330  RE03IL    56291.41234  186.21842     3.51397   22.23600  LCP      0.11       0.01
1224+0330  RE03IL    56291.41234  186.21842     3.51397   22.23600  RCP      0.13       0.01
0851+202   RK18RU    58232.91243  133.70364    20.10851   22.23600  LCP      6.02       0.03
0851+202   RK18RU    58232.91243  133.70364    20.10851   22.23600  RCP      6.18       0.02
0721+7120  RE03GB    56251.90475  110.47270    71.34343   22.22800  LCP      2.99       0.02
0721+7120  RE03GB    56251.90475  110.47270    71.34343   22.22800  RCP      3.10       0.02
1150+497   RG34C     58118.30956  178.35196    49.51912   22.19600  LCP      1.92       0.01
1150+497   RG34C     58118.30956  178.35196    49.51912   22.19600  RCP      1.96       0.01
0234+285   RE03IF    56279.01072   39.46835    28.80250   22.23600  LCP      2.71       0.01
0234+285   RE03IF    56279.01072   39.46835    28.80250   22.23600  RCP      2.78       0.02
0235+164   RK18GT    58099.86915   39.66221    16.61646   22.23600  LCP      0.99       0.04
0235+164   RK18GT    58099.86915   39.66221    16.61646   22.23600  RCP      1.02       0.04
2200+420   RK18EQ    58074.82925  330.68038    42.27777   22.23600  LCP      1.94       0.01
2200+420   RK18EQ    58074.82925  330.68038    42.27777   22.23600  RCP      1.99       0.01
0359+5057  RE03CR    56189.32549   59.87395    50.96393   22.22800  LCP      9.34       0.02
0359+5057  RE03CR    56189.32549   59.87395    50.96393   22.22800  RCP      9.58       0.03
1800+7828  RE03DC    56197.49444  270.19035    78.46778   22.22800  LCP      1.69       0.02
1800+7828  RE03DC    56197.49444  270.19035    78.46778   22.22800  RCP      1.83       0.03
0851+202   RK18RW    58237.95664  133.70362    20.10851   22.23600  LCP      5.35       0.02
0851+202   RK18RW    58237.95664  133.70362    20.10851   22.23600  RCP      5.65       0.01
0838+133   RK12GZ    57347.40787  130.19829    13.20654   22.23600  LCP      1.22       0.01
0838+133   RK12GZ    57347.40787  130.19829    13.20654   22.23600  RCP      1.30       0.01
1150+497   RG11AF    57009.49090  178.35194    49.51912   22.20400  LCP      1.64       0.01
1150+497   RG11AF    57009.49090  178.35194    49.51912   22.20400  RCP      1.71       0.01
0917+624   RG11AG    57017.69579  140.40096    62.26449   22.17200  LCP      0.73       0.01
0917+624   RG11AG    57017.69579  140.40096    62.26449   22.17200  RCP      0.74       0.01
0234+285   RE03HA    56267.07782   39.46835    28.80250   22.22800  LCP      3.70       0.01
0234+285   RE03HA    56267.07782   39.46835    28.80250   22.22800  RCP      3.71       0.03
0415+379   RK12CO    57297.40836   64.58867    38.02661   22.23600  LCP      1.85       0.15
0415+379   RK12CO    57297.40836   64.58867    38.02661   22.23600  RCP      2.18       0.23
0528+134   RK01VC    56721.89458   82.73507    13.53199   22.23600  LCP      1.23       0.02
0528+134   RK01VC    56721.89458   82.73507    13.53199   22.23600  RCP      1.32       0.02
2200+420   RE03CK    56188.37338  330.68038    42.27777   22.22800  LCP      1.71       0.39
2200+420   RE03CK    56188.37338  330.68038    42.27777   22.22800  RCP      2.07       0.36
1803+784   RE03ND    56351.48734  270.19035    78.46778   22.23600  LCP      1.96       0.02
1803+784   RE03ND    56351.48734  270.19035    78.46778   22.23600  RCP      2.02       0.02
0237+2848  RE03GU    56261.07324   39.46836    28.80250   22.22800  LCP      3.62       0.01
0237+2848  RE03GU    56261.07324   39.46836    28.80250   22.22800  RCP      3.76       0.02
0851+202   RK01VF    56726.02744  133.70364    20.10851   22.23600  LCP      3.85       0.02
0851+202   RK01VF    56726.02744  133.70364    20.10851   22.23600  RCP      3.95       0.02
0529+483   RK16AK    57657.49325   83.31612    48.38134   22.23600  LCP      1.28       0.02
0529+483   RK16AK    57657.49325   83.31612    48.38134   22.23600  RCP      1.33       0.03
0454-234   RK12GK    57342.15770   74.26325   -23.41445   22.23600  LCP      4.41       0.01
0454-234   RK12GK    57342.15770   74.26325   -23.41445   22.23600  RCP      4.62       0.02
0721+7120  RE03GL    56258.48937  110.47270    71.34343   22.22800  LCP      3.46       0.04
0721+7120  RE03GL    56258.48937  110.47270    71.34343   22.22800  RCP      3.65       0.03
0748+126   RE03HC    56267.24243  117.71685    12.51801   22.22800  LCP      3.03       0.01
0748+126   RE03HC    56267.24243  117.71685    12.51801   22.22800  RCP      3.11       0.01
1150+497   RG18C     57379.28877  178.35196    49.51912   22.20400  LCP      0.81       0.02
1150+497   RG18C     57379.28877  178.35196    49.51912   22.20400  RCP      0.82       0.01
0716+714   RK08TA    57100.95639  110.47270    71.34343   22.23600  LCP      2.70       0.01
0716+714   RK08TA    57100.95639  110.47270    71.34343   22.23600  RCP      2.73       0.01
1642+690   RK01XE    56742.88635  250.53271    68.94438   22.23600  LCP      1.74       0.01
1642+690   RK01XE    56742.88635  250.53271    68.94438   22.23600  RCP      1.73       0.03
0533+4822  RE03HV    56276.11500   83.31611    48.38134   22.23600  LCP      1.97       0.01
0533+4822  RE03HV    56276.11500   83.31611    48.38134   22.23600  RCP      1.99       0.01
