Source     RACODE         MJDate    J2000RA    J2000Dec    ObsFreq  Pol      FLUX    FLUXERR
0420+022   RK08CP    56943.28288   65.71756     2.32415    1.66800  LCP      0.55       0.04
0420+022   RK08CP    56943.28288   65.71756     2.32415    1.66800  RCP      0.71       0.04
1548+056   RK12QJ    57449.37110  237.64696     5.45290    1.66800  LCP      2.69       0.01
1548+056   RK12QJ    57449.37110  237.64696     5.45290    1.66800  RCP      3.09       0.02
1502+106   RK18QL    58212.17884  226.10408    10.49422    1.66800  LCP      1.29       0.02
1502+106   RK18QL    58212.17884  226.10408    10.49422    1.66800  RCP      1.45       0.02
1442+101   RK12QY    57456.28270  221.31862     9.97669    1.66800  LCP      1.84       0.02
1442+101   RK12QY    57456.28270  221.31862     9.97669    1.66800  RCP      2.24       0.02
0917+449   RK01A7    56772.98508  140.24358    44.69833    1.66800  LCP      0.91       0.01
0917+449   RK01A7    56772.98508  140.24358    44.69833    1.66800  RCP      1.05       0.02
0657+172   RG28BS    58205.92197  105.00638    17.15603    1.66800  LCP      0.85       0.01
0657+172   RG28BS    58205.92197  105.00638    17.15603    1.66800  RCP      1.06       0.02
0738+313   RK08DP    56952.28527  115.29460    31.20006    1.66800  LCP      1.93       0.01
0738+313   RK08DP    56952.28527  115.29460    31.20006    1.66800  RCP      2.24       0.01
0454-234   RK16DM    57711.11888   74.26325   -23.41445    1.66800  LCP      2.40       0.01
0454-234   RK16DM    57711.11888   74.26325   -23.41445    1.66800  RCP      2.69       0.01
1038+064   RK08KW    57014.36104  160.32151     6.17137    1.66800  LCP      1.05       0.01
1038+064   RK08KW    57014.36104  160.32151     6.17137    1.66800  RCP      1.18       0.01
0814+425   RK16KL    57788.05242  124.56667    42.37928    1.66800  LCP      0.78       0.02
0814+425   RK16KL    57788.05242  124.56667    42.37928    1.66800  RCP      1.01       0.04
1150+812   RK08EM    56961.23936  178.30208    80.97476    1.66800  LCP      1.25       0.01
1150+812   RK08EM    56961.23936  178.30208    80.97476    1.66800  RCP      1.47       0.01
2251+158   RK01LP    56633.90248  343.49061    16.14821    1.66800  LCP     10.42       0.02
2251+158   RK01LP    56633.90248  343.49061    16.14821    1.66800  RCP     12.61       0.03
1044+719   RK16PH    57860.82867  162.11508    71.72665    1.66800  LCP      1.32       0.01
1044+719   RK16PH    57860.82867  162.11508    71.72665    1.66800  RCP      1.60       0.01
0235+164   RK16EJ    57720.08038   39.66221    16.61646    1.66800  LCP      1.42       0.01
0235+164   RK16EJ    57720.08038   39.66221    16.61646    1.66800  RCP      1.65       0.01
0954+658   RK16PL    57862.86321  149.69688    65.56523    1.66800  LCP      0.71       0.02
