ProjectID, Type, Pol, Scan, MJDate, Source, PointingModel, J2000RA, J2000Dec, ObsFreq, Obsc_Az, Obsc_El, Mnt_Az, Mnt_El, Peak, PeakError, Width, WidthError, Offset, OffsetError, BaselineRMS, AzRate, ElRate, TCal, TSys
AGBT17A_998_31,    AzF, LCP,    1, 57897.865752, 1055+018, Model 5s - latest, 164.62335417,   1.56633972,   1.66800000, 116.03659915,  31.05162842, 116.01896486,  31.13348110,   4.64497242,   0.03111426, 437.53860123,   3.38424721,   8.33660777,   1.43715747,   0.09486700, 315.75990368,  10.57705907,   1.41209981,  17.47251036
AGBT17A_998_31,    AzF, RCP,    1, 57897.865752, 1055+018, Model 5s - latest, 164.62335417,   1.56633972,   1.66800000, 116.03659915,  31.05162842, 116.01896486,  31.13348110,   4.27863718,   0.01806536, 463.03662297,   2.25748968,   5.02976782,   0.95866760,   0.05689069, 315.75990368,  10.57705907,   1.45254792,  16.77659104
AGBT17A_998_31,    AzB, LCP,    2, 57897.866285, 1055+018, Model 5s - latest, 164.62335417,   1.56633972,   1.66800000, 116.19602739,  31.18673716, 116.17867401,  31.26868472,   4.69745017,   0.02720156, 442.20469803,   2.95681605,  -5.97145539,   1.25564416,   0.06506081, -290.63166384,  10.54738323,   1.41209981,  17.39774118
AGBT17A_998_31,    AzB, RCP,    2, 57897.866285, 1055+018, Model 5s - latest, 164.62335417,   1.56633972,   1.66800000, 116.19602739,  31.18673716, 116.17867401,  31.26868472,   4.31425384,   0.02235213, 458.35179086,   2.74208870,  -2.78514728,   1.16445785,   0.05826496, -290.63166384,  10.54738323,   1.45254792,  16.73660938
AGBT17A_998_31,    ElF, LCP,    3, 57897.866933, 1055+018, Model 5s - latest, 164.62335417,   1.56633972,   1.66800000, 116.39071022,  31.35089197, 116.37340686,  31.43289933,   4.62726571,   0.01819026, 457.33708428,   2.07596599,  18.46208131,   0.88158159,   0.05527302,  13.24164429, 270.26011414,   1.41209981,  17.13662171
AGBT17A_998_31,    ElF, RCP,    3, 57897.866933, 1055+018, Model 5s - latest, 164.62335417,   1.56633972,   1.66800000, 116.39071022,  31.35089197, 116.37340686,  31.43289933,   4.31500748,   0.01556937, 437.03362613,   1.82084779,  21.06160741,   0.77324286,   0.03843974,  13.24164429, 270.26011414,   1.45254792,  16.69267599
AGBT17A_998_31,    ElB, LCP,    4, 57897.867442, 1055+018, Model 5s - latest, 164.62335417,   1.56633972,   1.66800000, 116.54413798,  31.47969015, 116.52678435,  31.56231975,   4.68191023,   0.01313366, 463.08987485,   1.50002150,  11.87142858,   0.63700048,   0.03766453,  12.57353734, -249.16796745,   1.41209981,  17.18758356
AGBT17A_998_31,    ElB, RCP,    4, 57897.867442, 1055+018, Model 5s - latest, 164.62335417,   1.56633972,   1.66800000, 116.54413798,  31.47969015, 116.52678435,  31.56231975,   4.35475897,   0.01276422, 434.41953645,   1.47030956,  11.42731427,   0.62438298,   0.03503609,  12.57353734, -249.16796745,   1.45254792,  16.71645645
AGBT17A_998_31,    AzF, LCP,    5, 57897.868715, 1055+018, Model 5s - latest, 164.62337500,   1.56633889,   1.66800000, 116.92949061,  31.80086008, 116.91201215,  31.88740254,   4.71648692,   0.01266739, 430.57069927,   1.33531052,   5.17081751,   0.56705417,   0.03125473, 318.41356099,  10.47308265,   1.41209981,  17.16195526
AGBT17A_998_31,    AzF, RCP,    5, 57897.868715, 1055+018, Model 5s - latest, 164.62337500,   1.56633889,   1.66800000, 116.92949061,  31.80086008, 116.91201215,  31.88740254,   4.30788350,   0.01121332, 461.66090893,   1.38759514,   6.11616236,   0.58925740,   0.03405196, 318.41356099,  10.47308265,   1.45254792,  16.40185700
